wavelength,n,k
652,2.77344296,0.00422753846
654,2.77145002,0.00411388304
656,2.76948296,0.00400396805
658,2.76754129,0.00389765052
660,2.76562454,0.00379479369
662,2.76373225,0.00369526663
664,2.76186399,0.00359894404
666,2.7600193,0.00350570591
668,2.75819777,0.00341543731
670,2.75639898,0.00332802816
672,2.75462252,0.00324337299
674,2.752868,0.00316137072
676,2.75113502,0.00308192446
678,2.74942322,0.00300494133
680,2.7477322,0.00293033227
682,2.74606163,0.00285801185
684,2.74441113,0.00278789814
686,2.74278038,0.0027199125
688,2.74116901,0.0026539795
690,2.73957672,0.0025900267
692,2.73800317,0.0025279846
694,2.73644805,0.00246778642
696,2.73491105,0.00240936806
698,2.73339187,0.00235266793
700,2.7318902,0.00229762685
702,2.73040577,0.00224418798
704,2.72893829,0.00219229666
706,2.72748748,0.00214190036
708,2.72605308,0.00209294858
710,2.72463481,0.00204539275
712,2.72323242,0.00199918615
714,2.72184565,0.00195428385
716,2.72047425,0.00191064261
718,2.71911799,0.00186822083
720,2.71777662,0.00182697845
722,2.71644991,0.00178687693
724,2.71513763,0.00174787915
726,2.71383955,0.00170994937
728,2.71255546,0.00167305316
730,2.71128515,0.00163715737
732,2.7100284,0.00160223004
734,2.708785,0.00156824038
736,2.70755475,0.00153515873
738,2.70633746,0.00150295648
740,2.70513293,0.00147160606
742,2.70394096,0.00144108087
744,2.70276139,0.00141135528
746,2.70159401,0.00138240456
748,2.70043865,0.00135420483
750,2.69929514,0.00132673309
752,2.69816329,0.00129996711
754,2.69704295,0.00127388545
756,2.69593395,0.00124846742
758,2.69483612,0.00122369303
760,2.69374931,0.00119954299
762,2.69267335,0.00117599866
764,2.69160809,0.00115304205
766,2.69055339,0.00113065578
768,2.68950908,0.00110882303
770,2.68847504,0.00108752759
772,2.68745111,0.00106675376
774,2.68643716,0.00104648638
776,2.68543304,0.0010267108
778,2.68443863,0.00100741284
780,2.68345379,0.00098857879
782,2.68247838,0.000970195407
784,2.68151229,0.000952249868
786,2.68055538,0.000934729771
788,2.67960753,0.000917623116
790,2.67866863,0.000900918293
792,2.67773854,0.000884604064
794,2.67681716,0.000868669554
796,2.67590437,0.000853104234
798,2.67500006,0.000837897909
800,2.67410411,0.00082304071
802,2.67321642,0.000808523078
804,2.67233688,0.000794335754
806,2.67146538,0.000780469771
808,2.67060182,0.000766916439
810,2.66974609,0.000753667342
812,2.66889811,0.00074071432
814,2.66805776,0.000728049468
816,2.66722496,0.000715665123
818,2.6663996,0.000703553855
820,2.6655816,0.000691708462
822,2.66477085,0.000680121961
824,2.66396728,0.000668787579
826,2.66317079,0.000657698746
828,2.66238129,0.000646849092
